AM - B2B,,,,,,,
Label,# Samples,Average Response Time - J Meter (Mili Seconds),Average Response Time - Postman(Mili Seconds),,,,
ThirdPartyUpdateFlags,18,2358,234.9473684,,,,
Get Customer List,18,5161,3606.631579,,,,
search Customer With firstName,18,256,276.6315789,,,,
search Customer With lastName,18,245,246.3157895,,,,
search Customer With customerId,18,245,230.2105263,,,,
Get Customer Profile,18,297,258.6315789,,,,
Update Customer Level Flags,18,329,301.2631579,,,Red Font,Postman Average Response Time > Jmeter Average Response Time
Get Customer Preferences,18,266,273.7894737,,,Black Font,Jmeter Average Response Time > Postman Average Response Time
Update Customer Preferences,18,333,313.5789474,,,,
Get Customer Credit Facility,18,643,547.5789474,,,,
Update Credit Facility Level Flags,18,546,795.4285714,,,,
createAuthorizeTransaction,36,3399,2347.714286,,,,
createUnAuthorizeTransaction,18,1975,197.1428571,,,,
Settle a purchase - charge,18,2013,208.8,,,,
Adjust - credit_Return,18,536,178.2,,,,
View Customer Transactions,18,4465,3266.1,,,,
TOTAL,364,2507,952,,,,
,,,,,,,
Label,# Samples,Average Response Time - J Meter (Mili Seconds),Average Response Time - Postman(Mili Seconds),Difference (ms),,,
OriginationAuth Request,1,683,451,-232,,,
Create Application - Approve,1,10482,12356,1874,,,
Request Credit Decision,1,15204,16476,1272,,,
Documents - PDF - ECA Copy,1,6546,7491,945,,,
Request Credit Decision_Quote Accept,1,4105,4302,197,,,
Documents - PDF - PCCI Copy,1,2777,2413,-364,,,
Documents - PDF - CAGT Copy,1,3718,2959,-759,,,
Application Offer,1,3107,3294,187,,,
Create Customer Account,1,6002,6221,219,,,
Search Customer,1,15647,12104,-3543,,,
TOTAL,10,6827,6806.7,-20.3,,,
Red Font,Postman Average Response Time > Jmeter Average Response Time,,,,,,
Black Font,Jmeter Average Response Time > Postman Average Response Time,,,,,,